,nearest_dist_head2head,nearest_dist_head2bottom,nearest_dist_head2body,nearest_dist_bottom2head
data/img0000.png,648.9011343016749,574.1887928625918,580.0589432118086,412.71006427757516
data/img0250.png,inf,inf,inf,inf
data/img0251.png,inf,inf,inf,inf
data/img0252.png,inf,inf,inf,inf
data/img0253.png,inf,inf,inf,inf
data/img0254.png,inf,inf,inf,inf
data/img0255.png,inf,inf,inf,inf
data/img0256.png,inf,inf,inf,inf
data/img0257.png,inf,inf,inf,inf
data/img0258.png,inf,inf,inf,inf
data/img0259.png,inf,inf,inf,inf
data/img0260.png,inf,inf,inf,inf
data/img0261.png,inf,inf,inf,inf
data/img0262.png,inf,inf,inf,inf
data/img0263.png,inf,inf,inf,inf
data/img0264.png,inf,inf,inf,inf
data/img0265.png,inf,inf,inf,inf
data/img0266.png,inf,inf,inf,inf
data/img0267.png,inf,inf,inf,859.7264561347406
data/img0268.png,inf,inf,inf,inf
data/img0269.png,inf,inf,inf,inf
data/img0270.png,inf,inf,inf,inf
data/img0271.png,inf,404.6532791637803,583.8890853578274,inf
data/img0272.png,inf,400.90981329969975,581.8990372908347,inf
data/img0273.png,inf,402.5351421404097,600.3254583973594,inf
data/img0274.png,inf,420.0269316234374,622.2037736947599,inf
data/img0276.png,803.462309270323,416.40014054872785,576.683683140073,861.3405556973387
data/img0277.png,inf,430.7251602797309,588.7346050641153,inf
data/img0278.png,inf,460.6704087837633,613.4018558824222,inf
data/img0279.png,706.0165137006359,416.7458965952755,521.3608286014592,inf
data/img0280.png,inf,364.8771863764576,465.4555927260945,inf
data/img0281.png,inf,359.9431597599817,455.79504165798016,inf
data/img0282.png,inf,384.7253673063425,460.5901744501287,inf
data/img0283.png,inf,428.34167578931675,472.0406762133956,inf
data/img0284.png,inf,429.6721159419127,459.04911806907995,inf
data/img0285.png,806.333460261944,329.1979156951029,358.7107224491625,inf
data/img0286.png,748.8578263522389,245.11084955382918,316.79159584812226,1137.2143524322933
data/img0287.png,672.3691727748975,259.4316087314727,246.19295197060364,1114.2425647748341
data/img0288.png,600.2703760290026,272.7264263121562,174.85474657555068,1091.6487204632267
data/img0289.png,inf,inf,inf,1067.8270862105906
data/img0290.png,inf,inf,inf,1050.4600101331798
data/img0291.png,inf,inf,inf,1041.410294211172
data/img0292.png,inf,inf,inf,1032.7449041162101
data/img0293.png,inf,inf,inf,1013.9119453330255
data/img0294.png,inf,inf,inf,999.9974412412265
data/img0295.png,344.94408616180095,79.67303941108288,334.1805212755524,963.841410652707
data/img0296.png,292.3323202418781,68.95931734725981,300.12383577450163,916.8004516191078
data/img0297.png,294.1005868746269,45.06953048346612,276.1746461933101,891.5495975984733
data/img0298.png,290.62164629978963,38.38916328861455,255.13453705839197,907.7472776053916
data/img0299.png,283.8196610525775,31.714706021023794,245.563254580159,903.5398847743246
data/img0300.png,293.510056946947,34.26182274777544,238.9523801932093,897.4825967984003
data/img0301.png,296.0174387058978,36.83460016071908,223.04711609881878,890.1742750720219
data/img0302.png,307.86166584685395,70.11033032299852,182.0347219625969,878.5596814992138
data/img0303.png,304.49718845664256,81.49407940457995,158.60641096752693,867.965184965388
data/img0304.png,303.13563726160606,83.28712276216538,158.97270205918986,865.2745763311204
data/img0305.png,300.8981785405156,80.82266172924534,160.41418391152337,864.4402577905543
data/img0306.png,296.6546310071697,78.04694291258276,160.035835986819,868.1124708498318
data/img0307.png,362.8716293374283,80.59784524414953,156.98144603742193,917.9309572685736
data/img0308.png,360.05971050507725,81.4944642169023,149.98410582458382,925.330526701135
data/img0309.png,351.487761734317,82.66514149265068,148.55170682291055,926.5550820107782
data/img0310.png,349.13602519505207,83.45989323022202,148.14859567339818,926.4822956155178
data/img0312.png,277.13503064210397,78.14257692832975,151.12675474580905,914.5039163273168
data/img0313.png,268.81523766334385,78.91196467583283,150.6054766600469,925.1872048882864
data/img0314.png,259.6166316879563,83.03798755991139,147.33350467561658,911.5924804916942
