,nearest_dist_head2head,nearest_dist_head2bottom,nearest_dist_head2body,nearest_dist_bottom2head
data/img0000.png,inf,inf,inf,125.24192411489044
data/img0250.png,inf,inf,inf,inf
data/img0251.png,inf,inf,inf,inf
data/img0252.png,inf,inf,inf,inf
data/img0253.png,inf,inf,inf,inf
data/img0254.png,inf,inf,inf,inf
data/img0255.png,inf,inf,inf,inf
data/img0256.png,inf,inf,inf,inf
data/img0257.png,inf,inf,inf,inf
data/img0258.png,inf,inf,inf,inf
data/img0259.png,inf,inf,inf,inf
data/img0260.png,inf,inf,inf,inf
data/img0261.png,inf,inf,inf,inf
data/img0262.png,inf,inf,inf,inf
data/img0263.png,inf,inf,inf,inf
data/img0264.png,inf,inf,inf,inf
data/img0265.png,inf,inf,inf,inf
data/img0266.png,inf,inf,inf,inf
data/img0267.png,inf,inf,inf,413.9011265725184
data/img0268.png,inf,inf,inf,inf
data/img0269.png,inf,inf,inf,inf
data/img0270.png,inf,inf,inf,inf
data/img0271.png,inf,inf,inf,804.0023860219571
data/img0272.png,inf,inf,inf,774.7888721509879
data/img0273.png,inf,inf,inf,759.6093155359534
data/img0274.png,inf,inf,inf,745.6887281493531
data/img0276.png,803.462309270323,540.7388763950675,240.92490020336223,726.9270122495107
data/img0277.png,inf,inf,inf,740.770486189211
data/img0278.png,inf,inf,inf,774.3864923524944
data/img0279.png,706.0165137006359,529.9011644533347,230.40374966132833,710.4259359630672
data/img0280.png,inf,inf,inf,646.4961130965909
data/img0281.png,inf,inf,inf,626.341349886785
data/img0282.png,inf,inf,inf,632.9176148038543
data/img0283.png,inf,inf,inf,630.8939384714361
data/img0284.png,inf,inf,inf,624.6515356404723
data/img0285.png,806.333460261944,712.3990210240325,461.32112114881545,520.6300471630506
data/img0286.png,748.8578263522389,696.3064269256747,435.9107247235379,453.87631497799043
data/img0287.png,672.3691727748975,699.2133757938274,438.5769130471872,482.74643672325533
data/img0288.png,600.2703760290026,701.4472419540901,442.9899583715188,483.80292641632496
data/img0289.png,inf,702.1644277204592,449.5747560728916,inf
data/img0290.png,inf,654.6586776160535,406.36795416100426,inf
data/img0291.png,inf,600.5916525860146,352.87513102796015,inf
data/img0292.png,inf,551.278341473706,339.63820750910816,inf
data/img0293.png,inf,420.1969320318747,307.2708251689378,inf
data/img0294.png,inf,358.4872507886439,309.76016528921207,inf
data/img0295.png,344.944086161801,331.1548297171581,323.1653736680338,499.9716816160691
data/img0296.png,292.3323202418781,304.36632606942584,316.8137722037979,559.3686485476283
data/img0297.png,294.1005868746269,256.7733322952364,309.6911080415451,611.3045355630858
data/img0298.png,290.6216462997897,256.7872907914254,309.8783377036865,639.0445446899614
data/img0299.png,283.8196610525775,256.3749507615749,308.1445894381402,649.6078817255838
data/img0300.png,293.510056946947,260.1281400483231,307.79682637902556,656.8119087295846
data/img0301.png,296.01743870589775,260.1436580910634,303.83753898753184,672.9389967664231
data/img0302.png,307.8616658468539,263.8251063792073,303.83753898753184,721.1303051800002
data/img0303.png,304.4971884566426,274.6284763093588,298.88404630893245,744.1088775770654
data/img0304.png,303.13563726160606,271.4545066046981,290.9442687835593,749.0994220916208
data/img0305.png,300.8981785405156,268.38181756594463,291.2226484478843,748.7747259743747
data/img0306.png,296.6546310071697,266.75052014944595,293.11934855618114,742.1644435689437
data/img0307.png,362.8716293374283,331.22143462644436,357.3072625318438,741.7273028937253
data/img0308.png,360.05971050507725,336.08105398103004,370.46077418398835,738.2599684244027
data/img0309.png,351.487761734317,334.773831183084,370.46077418398835,736.1181013458372
data/img0310.png,349.13602519505207,336.697886606079,366.6208556110795,734.6617742124605
data/img0312.png,344.78756358082296,324.9707102017041,380.69652375612776,726.8384323479326
data/img0313.png,306.9603231689725,321.5464397081703,397.5351254920752,729.0216768368414
data/img0314.png,243.979036986787,329.86630773390607,402.8654485060738,731.4911305668717
data/img0315.png,262.39096664710087,338.6272441623681,401.58693205830286,734.1687765752505
data/img0316.png,297.2939355065959,331.79824016712325,397.751439972252,730.3613947204493
data/img0317.png,316.6431954250715,924.4729532252418,391.23859268865596,700.2903639555524
data/img0318.png,282.24269871513064,325.06643697096746,392.5157295421421,630.1601791997016
data/img0319.png,295.4011238976589,320.85454925557787,391.13350764157246,612.9722112534956
data/img0320.png,inf,322.56073302403064,391.13350764157246,inf
data/img0321.png,inf,319.6798854416711,389.7141539359329,inf
data/img0322.png,inf,319.04256769277663,389.7141539359329,inf
data/img0323.png,inf,328.3453463793876,384.53063337008666,inf
data/img0324.png,inf,353.6080197690657,413.91585678492675,inf
data/img0325.png,346.4496962042253,373.1634677845622,487.22062353722265,653.3193060808779
data/img0326.png,356.1096216742816,367.4539678503961,502.6361055962852,695.203421753662
data/img0327.png,inf,inf,inf,705.8527772970792
data/img0328.png,inf,inf,inf,712.4458081973675
data/img0329.png,inf,inf,inf,788.3534572880363
data/img0330.png,inf,inf,inf,834.4689289949625
data/img0331.png,311.2928127808286,739.379845606438,405.577338924403,877.8847282063857
data/img0332.png,318.3183412874602,595.7484859309337,358.23068793446487,913.4403222980688
data/img0333.png,364.49746919423194,491.1278591619499,271.24693464811753,921.733245846107
data/img0334.png,323.713374453389,490.7480340144013,259.410828181863,928.8012671061555
data/img0335.png,inf,inf,inf,928.1396811353343
data/img0336.png,inf,inf,inf,920.5395429686874
data/img0337.png,inf,inf,inf,922.0152709462029
data/img0338.png,inf,inf,inf,925.5659062962508
data/img0339.png,inf,inf,inf,926.8142020108453
data/img0340.png,inf,inf,inf,932.9595413784031
data/img0341.png,inf,inf,inf,931.1791732684961
data/img0342.png,inf,inf,inf,926.2902871130626
data/img0343.png,inf,inf,inf,927.6821524638706
data/img0344.png,inf,inf,inf,927.3032418793757
data/img0345.png,inf,inf,inf,952.4997679789743
data/img0346.png,361.3189755576089,586.6287796860975,382.4044600393672,984.141075054283
data/img0347.png,359.6561017666739,604.879985158213,385.6916366451314,976.0957759200683
data/img0348.png,342.5652983140586,616.1207307378969,385.4567799494517,965.6462682462974
data/img0349.png,309.9194701999214,582.2831607465564,369.81701541302806,961.7842425086825
data/img0350.png,238.51502027754972,550.0610682869676,331.4111471344922,922.6727609819204
